Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Chhayghari,953,3158,443,75,2070,570,889,113,259,23,23,3,6,0,75,0,0,0,741,149,171,4,26,1111,1597,3145,8,5,1483.54,1109.45,296.29,2478,565,113,816,1871,22,0,79,77,293,12832,113,0,6569,6262,1,1297,2601,2998,1846,1896,1045,645,359,145,5873,6210,545,55,78,5089,1352,2770,2433,641,281,255,11,15,10,17,47,18,10,15,16,12684
Goraipur,961,190,27,0,106,57,175,6,19,2,0,2,1,0,0,0,0,0,62,6,16,0,49,72,15,174,0,16,69.05,35.99,11.72,179,5,6,51,97,1,0,0,0,41,706,170,61,360,346,0,42,128,150,107,123,82,44,23,7,292,353,47,8,2,258,21,127,210,38,23,29,0,0,1,2,0,0,1,7,0,695
Sundalpur,842,347,75,0,201,71,199,16,49,0,3,0,0,0,0,0,0,0,43,19,17,0,15,170,102,344,1,2,197.95,197.95,0.66,225,106,16,180,128,2,0,8,0,29,1426,0,64,774,652,0,134,276,283,243,204,133,85,44,24,670,682,52,3,2,743,41,355,151,85,38,13,0,3,1,2,4,0,5,2,1,1408
Sadipur,910,129,6,0,111,12,18,1,6,0,2,0,0,0,0,0,0,0,49,8,8,0,33,43,105,129,0,0,2.33,27.17,0.00,125,3,1,13,108,0,0,0,0,8,512,5,135,268,244,0,29,88,87,95,71,63,48,23,8,204,280,23,1,3,183,37,78,147,30,17,20,0,1,0,2,0,0,1,2,0,506
Ganti Baisnab Charan,916,46,3,2,40,1,4,1,1,0,0,0,0,0,2,0,0,0,10,0,0,0,0,17,37,36,0,10,3.32,0.00,0.00,45,0,1,3,39,0,0,0,2,2,205,0,0,107,98,0,13,52,51,30,26,20,6,5,2,105,87,11,1,1,87,6,59,39,11,1,2,0,0,0,0,4,0,0,0,2,199
Hajidanga,980,537,30,18,458,31,85,4,10,1,1,0,0,0,18,0,0,0,202,16,20,0,48,325,384,534,3,0,0.87,56.59,3.10,514,19,4,36,452,3,1,4,19,22,2277,5,197,1150,1127,0,245,516,452,373,320,170,121,61,19,1026,1150,61,10,9,1487,158,263,302,49,9,9,0,7,3,6,4,4,3,5,3,2242
Baradaha,884,362,58,1,237,66,135,8,43,2,1,2,1,0,1,0,0,0,80,17,13,1,24,164,209,357,0,5,183.29,52.21,8.31,320,34,8,95,254,0,0,1,1,11,1522,113,0,808,714,0,141,268,298,260,233,143,90,65,24,635,824,42,5,10,645,44,261,423,73,35,35,6,4,0,3,2,2,4,0,2,1505
Hogaldanga,914,859,52,3,707,97,184,4,31,3,6,2,0,0,3,0,0,0,435,72,78,4,3,365,622,857,2,0,105.19,556.30,0.33,851,4,4,189,644,0,0,0,3,23,3195,5,5,1669,1525,1,328,622,743,461,488,259,133,109,52,1480,1545,117,4,29,1193,451,563,736,140,57,55,0,5,2,4,17,1,3,7,1,3155
Kaladanga,947,2100,271,71,1481,277,510,32,172,15,19,6,13,0,71,0,0,0,415,95,119,4,14,837,1171,2083,11,6,930.01,949.02,307.92,1705,363,32,392,1374,21,0,96,71,146,8446,55,0,4337,4109,0,929,1683,1928,1364,1018,707,457,270,90,3899,4097,309,24,50,3500,1025,1801,1527,356,124,108,5,21,8,11,25,18,2,11,23,8327
Total,940,7728,965,170,5411,1182,2199,185,590,46,55,15,21,0,170,0,0,0,2037,382,442,13,212,3104,4242,7659,25,44,2975.55,2984.68,628.33,6442,1099,185,1775,4967,49,1,188,173,575,31121,466,462,16042,15077,2,3158,6234,6990,4779,4379,2622,1629,959,371,14184,15228,1207,111,184,13185,3135,6277,5968,1423,585,526,22,56,25,47,103,43,29,49,48,30721
