Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Char Sujapur,927,135,7,2,126,0,48,1,1,1,0,0,0,0,2,0,0,0,35,6,1,0,124,55,83,135,0,0,0.00,35.20,0.00,125,9,1,18,113,0,0,0,2,2,553,549,0,287,266,0,84,114,119,83,62,35,36,17,3,246,274,27,1,0,372,59,95,10,11,1,4,1,2,0,1,1,0,0,1,0,548
Chak Katalia,961,211,12,1,196,2,65,0,2,0,0,0,4,0,1,0,0,0,51,5,9,0,174,123,136,211,0,0,1.47,4.14,12.07,206,5,0,13,194,0,1,1,1,1,914,803,0,466,448,0,119,198,197,140,114,69,50,25,2,409,457,43,3,1,511,88,161,129,16,7,2,0,7,2,2,1,0,1,7,1,893
Bhagabanbati,974,644,178,2,389,75,247,93,127,1,2,1,1,0,2,0,0,0,113,20,30,1,185,166,249,636,7,1,24.53,113.60,3.09,437,114,93,73,380,6,2,43,2,138,2894,845,0,1466,1428,0,235,546,622,493,399,267,179,96,57,1353,1351,164,14,10,898,474,398,625,299,99,97,4,2,2,0,10,5,0,6,6,2863
Chhota Satui,901,1051,153,29,669,200,287,53,89,1,1,0,4,0,29,0,0,0,97,73,57,2,143,301,510,1039,1,11,112.82,1815.85,34.37,794,204,53,175,618,14,1,55,29,159,4246,704,0,2234,2012,0,350,821,883,690,631,378,257,184,52,1758,2287,186,10,2,1340,577,689,1068,322,152,87,11,4,2,8,4,3,1,18,11,4195
Katalia,916,969,152,24,575,218,302,58,86,7,4,0,10,0,24,0,0,0,115,24,38,1,105,230,451,949,16,4,509.57,201.92,443.95,661,249,58,120,558,0,54,70,26,141,4429,527,1,2312,2117,0,445,938,926,714,590,379,255,144,38,1991,2160,209,17,12,1490,998,778,744,234,113,69,3,4,1,0,6,3,4,2,6,4403
Basabari,961,530,27,22,434,47,86,5,14,2,2,2,1,0,22,0,0,0,164,11,13,0,0,298,387,528,0,2,1.65,82.11,3.97,497,28,5,72,426,0,0,6,22,4,2441,0,0,1245,1196,0,366,668,557,307,260,126,92,51,14,1257,1057,57,5,2,1315,307,545,215,39,12,8,0,7,1,4,16,2,3,1,6,2401
Gangadharpur,993,197,9,5,143,40,36,2,3,0,0,0,3,0,5,0,0,0,37,14,13,0,0,66,130,160,0,37,0.00,0.00,31.17,189,6,2,2,160,0,0,0,5,30,877,0,0,440,437,0,93,179,168,119,119,81,70,32,16,394,413,40,1,2,337,59,165,233,43,23,17,0,3,1,0,3,1,0,0,4,865
Bara Satui,955,1179,172,12,904,91,301,99,91,8,5,0,0,0,12,0,0,0,50,50,59,2,62,668,706,1162,1,16,7.26,300.22,0.33,695,385,99,136,846,32,0,84,12,69,5256,265,0,2689,2567,0,598,1257,1161,765,624,388,250,154,59,2547,2499,181,14,2,3015,837,661,456,180,50,57,0,8,3,6,17,9,0,11,8,5194
Sona Diar,972,111,3,0,103,5,10,1,1,0,0,0,0,0,0,0,0,0,32,2,6,0,56,66,98,111,0,0,0.00,6.27,2.19,109,1,1,7,100,0,0,1,0,3,493,245,0,250,243,0,62,95,125,83,50,44,20,12,2,204,254,20,1,0,209,48,77,135,10,7,7,0,0,0,0,4,2,0,0,0,487
Total,941,5027,713,97,3539,678,1382,312,414,20,14,3,23,0,97,0,0,0,694,205,226,6,849,1973,2750,4931,25,71,657.30,2559.31,531.14,3713,1001,312,616,3395,52,58,260,99,547,22103,3938,1,11389,10714,0,2352,4816,4758,3394,2849,1767,1209,715,243,10159,10752,927,66,31,9487,3447,3569,3615,1154,464,348,19,37,12,21,62,25,9,46,42,21849
