Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Math Binkar,991,128,26,3,63,36,22,8,12,0,0,0,3,0,3,0,0,0,12,10,10,0,15,21,42,123,1,4,0.00,10.78,0.32,76,44,8,6,46,0,0,0,3,73,458,51,0,230,228,0,34,96,87,75,72,35,33,22,4,184,221,23,28,2,102,90,139,61,45,12,9,0,2,0,2,1,0,4,2,1,446
Kaya,939,774,93,5,514,162,104,23,52,5,1,2,6,0,5,0,0,0,225,31,37,1,108,231,314,758,1,15,73.45,117.06,12.55,702,49,23,365,355,0,0,6,5,43,3191,437,0,1646,1545,0,281,703,668,532,409,280,192,88,38,1397,1663,103,6,2,1038,451,929,511,162,57,43,0,2,4,4,12,6,0,8,0,3155
Chumarigacha,927,980,133,1,690,156,383,56,98,3,5,1,1,0,1,0,0,0,92,23,27,1,290,277,515,975,0,5,10.98,364.58,7.42,767,157,56,186,679,23,0,46,1,45,4723,1436,0,2451,2272,0,493,1034,1057,675,599,420,247,155,43,2237,2294,172,12,5,1597,421,1075,1061,372,139,57,1,6,5,11,17,11,3,9,2,4659
Tarakpur,943,1742,268,26,1165,283,342,70,143,12,1,6,4,5,20,0,0,1,139,40,54,5,69,568,969,1728,3,6,241.89,219.44,10.06,1273,399,70,184,1141,14,0,153,20,230,7692,246,76,3959,3732,1,817,1667,1754,1305,960,627,341,148,73,3450,3775,239,27,11,2796,796,1914,1506,406,162,101,11,16,12,18,30,7,8,11,17,7573
Bairgachhi,934,2193,430,26,1562,175,173,195,245,2,1,0,6,0,24,2,0,0,514,57,78,8,469,617,1339,2020,9,164,8.27,165.92,11.30,1475,523,195,251,1481,53,0,50,25,333,9344,2249,28,4831,4513,0,760,1686,1946,1713,1314,962,555,281,127,3928,4810,456,50,16,3636,493,2155,1824,695,323,211,7,44,11,8,43,9,23,17,18,9171
Mankara,874,421,53,2,301,65,46,8,27,0,3,0,1,0,2,0,0,0,104,12,15,0,179,103,191,333,0,88,248.09,160.61,2.31,349,64,8,25,228,3,1,2,2,160,1906,713,194,1017,889,0,215,444,383,326,207,157,100,43,31,879,912,59,23,20,549,407,511,295,100,27,17,0,1,0,3,5,1,6,11,3,1876
Chaltia (CT),955,6121,2970,37,2620,494,650,1801,1773,15,41,6,15,0,31,1,4,1,490,125,218,8,1201,733,2242,5625,263,233,888.62,202906.61,776.40,2701,1619,1801,166,2576,153,0,403,31,2792,25082,6640,142,12829,12252,1,1602,3808,4875,4531,4075,3054,2009,802,326,9767,13348,1279,91,44,4505,2648,4213,5672,2985,2024,2724,311,27,10,17,72,14,33,22,36,24851
Total,943,12359,3973,100,6915,1371,1720,2161,2350,37,52,15,36,5,86,3,4,2,1576,298,439,23,2331,2550,5612,11562,277,515,1471.30,203945.00,820.36,7343,2855,2161,1183,6506,246,1,660,87,3676,52396,11772,440,26963,25431,2,4202,9438,10770,9157,7636,5535,3477,1539,642,21842,27023,2331,237,100,14223,5306,10936,10930,4765,2744,3162,330,98,42,63,180,48,77,80,77,51731
