Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Char Narayanpur,834,64,2,0,61,1,18,0,1,0,0,0,0,0,0,0,0,0,13,1,0,0,49,24,42,63,0,1,0.00,11.82,0.33,59,5,0,11,51,1,0,0,0,1,299,243,0,163,136,0,31,66,69,47,26,25,16,14,5,135,146,9,2,1,122,48,44,71,10,4,0,0,4,0,0,0,0,0,0,0,295
Fate Singdiar,930,828,123,2,647,56,25,54,38,9,25,9,9,0,2,0,0,0,134,19,27,3,498,149,422,810,10,8,39000.00,30000.00,30000.00,533,241,54,198,459,12,0,30,2,127,3835,2616,3,1987,1848,0,304,737,884,648,518,364,209,133,38,1677,1915,189,7,4,949,761,1146,631,229,63,51,5,8,2,1,8,0,2,1,0,3813
Belia Khari,912,399,66,6,219,108,153,12,35,2,0,0,1,0,6,0,0,0,3,15,13,0,95,44,183,393,0,6,94.22,93.48,1.41,345,42,12,24,251,3,0,73,6,42,1765,437,1,923,842,0,114,329,315,338,287,151,135,66,30,663,699,51,1,0,467,153,346,590,127,57,22,3,12,4,3,17,1,2,22,14,1690
Ajodhya Nagar (P) (CT),989,2155,664,9,1336,146,33,359,333,1,1,0,2,0,9,0,0,0,302,32,78,2,455,314,1242,2026,119,10,52.51,35.42,32.41,1509,287,359,39,1310,94,0,98,9,605,9590,2454,27,4819,4767,4,747,1672,2126,1759,1347,935,576,291,137,4040,4779,436,30,33,1760,1357,2042,2264,966,551,612,38,7,5,1,9,1,6,3,3,9555
Pashchim Narayanpur,935,184,33,0,110,41,0,20,16,0,0,0,1,0,0,0,0,0,42,5,3,0,40,49,32,183,1,0,0.00,0.00,0.00,100,64,20,93,33,1,0,2,0,55,836,229,4,432,404,0,72,162,176,167,107,77,44,15,16,330,474,23,0,0,291,98,221,127,62,21,16,0,0,0,0,0,0,0,0,0,836
Char Begpur,1016,282,16,2,263,1,108,5,11,1,1,0,0,0,2,0,0,0,54,7,22,0,253,50,130,281,0,1,19.51,58.77,2.17,265,12,5,36,191,5,0,18,2,30,1238,1198,0,614,624,0,104,273,246,215,150,99,89,40,22,556,530,78,5,1,367,109,309,377,46,23,7,0,3,5,2,12,3,2,7,2,1202
Bairgachhi,934,2193,430,26,1562,175,173,195,245,2,1,0,6,0,24,2,0,0,514,57,78,8,469,617,1339,2020,9,164,8.27,165.92,11.30,1475,523,195,251,1481,53,0,50,25,333,9344,2249,28,4831,4513,0,760,1686,1946,1713,1314,962,555,281,127,3928,4810,456,50,16,3636,493,2155,1824,695,323,211,7,44,11,8,43,9,23,17,18,9171
Haridasmati (CT),926,1644,408,0,1085,151,12,228,136,0,0,1,5,0,0,0,0,0,350,56,75,1,369,187,1004,1608,34,2,35.78,0.10,0.10,1153,263,228,12,1052,8,0,65,0,507,7483,1476,23,3884,3596,3,474,1349,1501,1298,1104,787,523,310,137,2929,3577,396,25,15,904,679,1591,2262,1072,526,388,61,5,1,4,9,2,1,0,2,7459
Total,948,7749,1742,45,5283,679,522,873,815,15,28,10,24,0,43,2,0,0,1412,192,296,14,2228,1434,4394,7384,173,192,39210.29,30365.51,30047.72,5439,1437,873,664,4828,177,0,336,44,1700,34390,10902,86,17653,16730,7,2606,6274,7263,6185,4853,3400,2147,1150,512,14258,16930,1638,120,70,8496,3698,7854,8146,3207,1568,1307,114,83,28,19,98,16,36,50,39,34021
