Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Sahajadpur,882,1728,245,89,1136,258,610,48,103,19,24,3,6,3,88,0,0,0,428,85,63,30,36,678,730,1706,4,15,26528.74,53633.11,6.04,1500,180,48,365,997,16,0,23,88,239,7653,207,0,4066,3587,0,939,1820,1694,1069,868,592,345,258,68,3905,3428,225,26,23,3558,1056,1494,943,413,141,44,4,68,25,12,83,5,13,151,31,7265
Nischintapur,955,1211,186,72,842,111,307,22,126,6,15,0,3,0,72,0,0,0,339,46,45,3,18,514,666,1179,14,18,54060.14,3515.64,3406.91,976,213,22,201,833,2,13,8,73,81,5390,100,0,2757,2633,0,671,1285,1281,647,500,492,291,153,70,2743,2382,187,21,31,2502,677,1456,459,183,62,40,11,13,7,20,37,2,8,36,25,5242
Sungai,1026,352,39,7,287,19,96,15,23,8,6,1,0,0,7,0,0,0,91,7,12,0,161,177,197,352,0,0,14.12,115.07,1.00,330,7,15,66,262,1,0,1,7,15,1850,980,0,913,937,0,221,437,413,287,202,153,77,38,22,869,880,83,3,2,1157,154,249,192,58,18,21,1,4,5,2,9,0,2,4,0,1824
Jagannathpur,926,889,114,50,630,95,258,26,53,0,1,0,0,0,50,0,0,0,221,29,26,16,182,276,471,856,2,31,72.30,191.21,5.90,824,39,26,114,590,2,0,4,50,129,3552,851,8,1844,1708,0,339,730,764,538,483,349,196,120,33,1599,1780,137,10,8,1380,101,558,1087,252,93,81,0,12,13,3,48,2,9,18,26,3421
Basudebkhali,960,897,267,24,568,38,340,146,73,14,115,12,2,0,24,0,0,0,165,12,24,0,402,172,427,883,0,14,76130.67,894368.69,2.33,557,194,146,184,546,5,2,15,24,121,3699,2413,262,1887,1812,0,285,646,842,606,567,395,205,115,38,1566,1905,191,7,7,1100,336,853,935,292,110,69,4,13,5,6,13,5,3,13,5,3636
Bahurul,980,672,72,8,555,37,146,20,11,10,21,3,4,0,8,0,0,0,319,27,33,0,318,377,479,669,0,3,501006.17,385.43,283.89,618,34,20,60,583,0,0,0,8,21,3017,1244,264,1524,1493,0,312,614,608,447,397,323,181,100,35,1331,1496,154,5,13,1757,235,395,337,189,62,40,2,3,3,0,20,0,1,0,7,2983
Kandibandha,1002,237,8,0,214,15,5,0,4,0,0,0,0,0,0,0,0,0,174,21,16,5,0,106,95,237,0,0,1.72,2.29,0.50,235,2,0,111,102,1,16,0,0,7,989,0,0,494,495,0,130,206,226,147,103,84,54,33,6,477,473,27,7,0,534,126,157,106,53,9,4,0,1,2,5,7,0,3,7,13,951
Total,939,5986,931,250,4232,573,1762,277,393,57,182,19,15,3,249,0,0,0,1737,227,219,54,1117,2300,3065,5882,20,81,657813.86,952211.44,3706.57,5040,669,277,1101,3913,27,31,51,250,613,26150,5795,534,13485,12665,0,2897,5738,5828,3741,3120,2388,1349,817,272,12490,12344,1004,79,84,11988,2685,5162,4059,1440,495,299,22,114,60,48,217,14,39,229,107,25322
