Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Rangamati Chandpara,964,343,47,14,268,14,36,26,19,2,2,1,2,0,14,0,0,0,144,9,12,3,6,149,237,341,2,0,8.89,50.14,24.87,274,43,26,23,263,1,0,0,14,42,1585,28,0,807,778,0,154,409,353,253,206,108,59,23,20,789,583,58,144,10,680,200,324,264,85,17,15,0,1,4,1,1,0,3,7,2,1566
Pratappur Chandpara,834,146,19,8,95,24,30,5,8,0,1,0,0,0,8,0,0,0,54,2,2,0,37,56,57,145,1,0,20.81,52.15,132.00,127,14,5,44,57,0,0,0,8,37,598,167,0,326,272,0,52,121,123,108,87,58,30,10,9,255,309,32,1,1,261,1,113,169,30,23,0,1,0,0,0,0,0,4,1,0,593
Jadupur,978,487,58,8,312,109,160,24,24,7,2,3,3,0,8,0,0,0,143,12,18,0,145,202,42,484,0,3,185.73,182.83,11.23,412,51,24,327,45,0,1,0,8,106,2244,747,0,1134,1109,1,197,471,509,328,310,234,113,57,25,1024,1098,90,11,1,927,62,496,510,156,76,16,1,3,0,1,0,0,0,7,0,2233
Char Halalpur,929,241,38,0,158,45,99,12,30,0,0,0,0,0,0,0,0,0,32,3,8,2,119,95,116,241,0,0,143.54,112.45,31.27,176,53,12,56,152,1,7,0,0,25,1026,532,0,532,494,0,101,221,192,186,128,100,60,26,12,452,505,54,2,4,445,122,286,79,72,14,8,0,3,0,1,0,0,0,3,2,1017
Char Panchananpur,1054,31,3,5,23,0,3,0,0,0,3,0,0,0,5,0,0,0,5,0,0,0,0,20,21,29,0,2,0.00,99.00,99.00,29,2,0,4,22,0,0,0,5,0,115,0,0,56,59,0,21,20,33,10,16,6,4,5,0,52,57,3,2,0,61,12,21,18,2,1,0,0,2,1,0,1,0,0,0,2,109
Gobindapur,945,671,194,23,397,57,182,171,26,4,2,1,2,0,23,0,0,0,175,25,20,0,27,216,349,670,0,1,46.25,158.18,5.73,367,133,171,93,389,3,0,0,23,163,3032,138,0,1559,1473,0,313,754,745,376,370,251,106,88,29,1539,1387,73,13,6,1067,446,508,599,318,56,36,2,1,0,3,3,2,0,1,1,3021
Samaskar,958,303,21,11,264,7,39,7,6,0,1,0,1,0,11,0,0,0,116,9,12,1,125,157,242,301,2,0,23.48,57.56,0.47,286,10,7,21,259,0,0,0,11,12,1316,98,487,672,644,0,142,298,344,197,156,81,60,34,4,644,606,46,10,2,616,240,209,159,71,17,2,2,1,4,0,5,0,0,1,1,1304
Chak Dangapara,1100,74,3,3,68,0,2,0,0,0,0,0,0,0,3,0,0,0,44,1,1,0,68,29,47,74,0,0,0.40,0.10,0.30,73,1,0,21,49,0,0,0,3,1,315,315,0,150,165,0,40,65,68,37,46,31,20,4,4,157,145,12,0,1,125,47,45,89,9,0,0,0,3,1,0,0,0,1,6,1,303
Dabkai,929,463,46,6,278,133,117,4,24,0,0,0,1,0,6,0,0,0,123,12,18,1,6,175,92,462,0,1,22.06,27.70,194.58,443,16,4,268,145,1,1,0,6,42,2786,15,0,1444,1342,0,311,740,628,368,311,230,120,59,19,1426,1189,83,4,6,1082,334,519,580,166,60,44,1,0,0,0,12,5,5,2,4,2758
Chak Chandpara,980,67,9,0,48,10,17,5,5,0,0,0,0,0,0,0,0,0,5,4,5,0,0,25,44,67,0,0,21.50,17.60,3.90,54,8,5,4,55,0,1,0,0,7,291,0,0,147,144,0,25,66,67,50,35,32,7,9,0,137,141,11,1,0,110,39,98,29,9,5,1,0,1,0,0,0,0,1,0,0,289
