Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Baikunthapur,878,400,70,18,227,85,149,17,45,5,2,0,4,0,18,0,0,0,68,16,7,2,0,100,201,394,2,4,5.77,128.25,14.63,336,47,17,67,266,1,0,14,18,34,1902,0,0,1013,889,0,220,442,428,295,199,131,110,62,15,986,852,45,4,1,678,328,364,311,116,68,34,3,2,4,11,18,5,11,6,3,1842
Sundipur,915,1282,323,30,754,175,488,167,223,13,10,2,10,0,30,0,0,0,148,34,28,5,45,415,665,1274,4,4,367.18,550.51,51.27,901,214,167,262,799,9,7,80,31,94,5756,200,0,3005,2751,0,617,1259,1161,927,698,490,330,205,69,2666,2836,144,4,10,2209,927,1420,732,271,113,78,6,14,2,12,27,7,6,15,15,5658
Naopara,918,411,33,27,296,55,73,5,16,1,0,0,1,1,27,0,0,0,146,22,13,2,0,152,219,404,2,4,34.39,28.76,19.39,349,57,5,75,237,5,0,27,27,40,1646,0,0,858,788,0,171,342,363,267,209,135,83,53,23,750,826,55,10,0,773,235,245,282,77,27,7,0,16,6,3,7,3,2,8,6,1595
Panch Baria,1053,101,12,0,70,19,41,2,5,2,1,0,0,0,0,0,0,0,26,2,5,2,37,30,52,101,0,0,29.50,35.80,11.40,92,7,2,27,65,0,0,0,0,9,386,160,0,188,198,0,30,72,73,63,72,38,25,7,6,158,211,15,2,0,115,53,76,103,26,9,4,0,1,1,0,0,0,2,2,0,380
Simulia,945,782,107,36,535,104,255,27,60,22,14,1,7,0,36,0,0,0,237,28,16,4,202,128,442,780,1,1,49.84,417.70,21.20,618,137,27,221,477,3,0,2,36,43,3274,1004,0,1683,1591,0,247,656,618,538,505,333,208,115,54,1378,1722,129,9,4,918,388,798,763,281,85,40,1,6,9,3,19,1,1,24,3,3208
Bhatpara,924,392,44,18,296,34,86,22,23,0,0,0,1,0,18,0,0,0,94,10,7,3,0,144,275,389,2,1,50.19,60.41,301.28,332,38,22,70,292,0,0,4,18,8,1676,0,0,871,805,0,171,382,355,247,181,172,90,44,34,768,841,40,3,5,711,478,293,113,57,12,12,0,4,1,1,19,2,3,0,0,1646
Baninathpur,936,755,132,14,477,132,314,52,81,12,5,2,16,0,14,0,0,0,60,48,29,1,33,261,340,724,2,29,74.29,410.08,24.06,327,376,52,107,516,9,0,32,14,77,3022,112,0,1561,1461,0,308,748,547,478,349,233,189,107,63,1449,1455,88,7,6,1004,651,542,479,193,96,56,1,7,1,3,15,4,1,10,9,2972
Bezpara,935,1030,126,23,716,165,244,25,72,11,0,3,0,3,22,0,0,0,176,35,29,57,6,277,655,1021,1,5,185.92,177.77,66.42,953,52,25,175,761,1,0,9,22,62,4782,33,0,2471,2311,0,581,1139,960,734,578,364,235,139,52,2315,2294,127,10,9,1822,655,947,786,390,110,70,2,76,6,7,41,6,17,379,31,4219
Naoda Panur,900,1346,201,24,895,226,375,45,101,5,5,3,5,0,24,0,0,0,131,43,34,0,182,362,832,1306,1,39,353.14,223.87,73.30,1165,136,45,198,978,9,0,93,24,44,6084,779,5,3200,2881,3,692,1353,1292,933,755,480,305,215,59,2850,2996,185,14,5,1855,1459,1032,1186,324,125,94,9,9,5,9,16,7,7,13,3,6015
Total,921,6499,1048,190,4266,995,2025,362,626,71,37,11,44,4,189,0,0,0,1086,238,168,76,505,1869,3681,6393,15,87,1150.22,2033.15,582.95,5073,1064,362,1202,4391,37,7,261,190,411,28528,2288,5,14850,13675,3,3037,6393,5797,4482,3546,2376,1575,947,375,13320,14033,828,63,40,10085,5174,5717,4755,1735,645,395,22,135,35,49,162,35,50,457,70,27535
