Village,Sex Ratio,Total Household,Excluded Household,Included household,Deprived Household,Zero Deprived Household,Household Owing Land,"Households with any member earning more than Rs. 10,000 p.m",Households with three or more rooms with pucca walls and pucca roof,Households owning 2.5 acres or more irrigated land with at least one irrigation equipment,Household owning 5 acres or more land irrigated for two or more crop seasons,Households owning 7.5 acres or more land with at least one irrigation equipment,"Households having Kisan credit card with the credit limit of Rs.50,000 and above",HH without shelter,Destitute/ living on alms,Manual scavengers,Primitive tribal groups,Legally released bonded labourers,Only one room with kucha walls and kucha roof,No adult member between age 16 to 59,Female headed households with no adult male member between age 16 to 59,Disabled member and no able bodied adult member,SC/ST households,No literate adult above 25 years,Landless households deriving major part of their income from manual casual labour,Owned,Rented,Any Other,Total unirrigated land (in hectares),Total irrigated land (in hectares),Total other irrigated land (in hectares),"Less than Rs. 5,000","Between Rs. 5,000 and Rs 10,000","Rs. 10,000 or more",Cultivation,Manual Casual Labour,Part-time or Full-Time Domestic Service,Foraging Rag Picking,Non-agricultural Own Account Enterprise,Begging/Charity/ Alms collection,Others,Total Population,SC Population,ST Population,Male,Female,Transgender,0-5 Yrs,6-15 Yrs,16-25 Yrs,26-35 Yrs,36-45 Yrs,46-55 Yrs,56-65 Yrs,66-75 Yrs,Above 76 Yrs,Never Married,Currently Married,Widowed,Separated,Divorced,Illiterate,Below Primary,Primary,Middle,Secondary,Higher Secondary,Graduate or Above,Other,In Seeing,In Hearing,In Speech,In Movement,Mental Retardation,Mental Illness,Other Disability,Multipls Disability,No Disability
Dadpur,987,1702,163,70,1293,176,431,26,78,8,4,0,17,1,69,0,0,0,488,88,107,32,4,902,983,1659,4,38,800.01,249.51,83.07,1335,341,26,281,1191,9,0,28,69,124,6478,23,0,3259,3218,1,746,1405,1523,899,804,539,300,184,78,2986,3187,223,21,44,3365,852,1063,740,306,110,42,0,157,38,9,40,9,16,10,10,6189
Purbagopinathpur,1034,242,61,8,120,53,124,2,38,0,1,2,3,0,8,0,0,0,46,6,13,4,0,51,95,241,1,0,116.98,49.58,13.80,212,28,2,88,125,0,2,11,8,8,1076,0,0,529,547,0,116,242,245,142,144,97,49,25,16,524,496,44,2,7,320,205,271,180,40,21,38,1,7,9,0,3,9,5,2,2,1039
Mukundapur,1026,155,12,0,133,10,17,0,10,0,0,0,0,0,0,0,0,0,60,5,10,0,36,56,121,154,0,1,0.00,15.55,0.00,132,23,0,3,137,0,0,1,0,14,776,46,134,383,393,0,95,179,138,115,90,78,52,26,3,361,372,33,3,0,339,211,113,80,25,6,2,0,6,0,0,2,0,0,1,1,766
Chutipur,929,1372,193,12,1007,160,325,11,104,5,7,2,35,0,12,0,0,0,473,77,80,4,32,548,829,1353,3,16,412.73,304.17,275.78,1257,104,11,276,996,1,0,15,13,71,5236,7,130,2714,2522,0,534,1000,1189,844,660,451,325,164,69,2332,2618,177,14,27,2248,448,1239,898,238,71,89,5,22,17,13,10,22,11,23,11,5107
Daulatabad,936,1514,372,12,900,230,330,100,234,29,11,11,7,0,12,0,0,0,314,62,67,3,224,415,612,1490,9,15,673.24,573.30,192.90,1106,306,100,386,765,25,0,21,13,304,6167,624,371,3184,2981,2,522,1192,1258,998,915,653,328,217,84,2622,3176,261,25,13,1815,577,1352,1212,641,323,215,32,18,6,7,30,6,0,22,7,6071
Selamatpur,962,2096,290,52,1341,413,686,8,91,19,125,4,4,0,52,0,0,0,437,111,114,3,40,842,942,2089,2,5,13073.40,13927.32,749.22,1908,180,8,875,1069,16,0,20,52,64,8483,0,168,4323,4160,0,1047,1803,1876,1227,939,668,536,281,106,3803,4184,255,31,17,3810,1064,2071,920,438,129,50,1,13,12,20,39,24,10,9,1,8355
Gangaprasad,898,125,19,3,83,20,35,4,11,0,0,0,6,0,3,0,0,0,22,11,6,9,0,55,55,124,0,1,24.76,2.75,0.61,113,8,4,31,73,0,0,1,3,17,501,0,0,264,237,0,43,117,100,65,69,41,30,30,6,226,251,18,0,3,186,37,136,70,38,18,15,1,41,5,0,2,0,0,0,3,450
Total,959,7206,1110,157,4877,1062,1948,151,566,61,148,19,72,1,156,0,0,0,1840,360,397,55,336,2869,3637,7110,19,76,15101.12,15122.18,1315.38,6063,990,151,1940,4356,51,2,97,158,602,28717,700,803,14656,14058,3,3103,5938,6329,4290,3621,2527,1620,927,362,12854,14284,1011,96,111,12083,3394,6245,4100,1726,678,451,40,264,87,49,126,70,42,67,35,27977
